attempt, points, estimate
8, 450, 11.306666666666667
9, 450, 12.96
10, 450, 13.386666666666667
11, 450, 12.586666666666666
12, 450, 11.84
13, 450, 12.16
14, 450, 12.213333333333333
15, 450, 12.053333333333333
16, 450, 12.533333333333333
17, 450, 11.786666666666667
18, 450, 11.733333333333333
19, 450, 12.16
20, 450, 14.24
21, 450, 11.253333333333334
22, 450, 12.906666666666666
23, 450, 13.12
24, 450, 12.533333333333333
25, 450, 12.426666666666666
26, 450, 11.306666666666667
27, 450, 12.213333333333333
28, 450, 12.213333333333333
29, 450, 11.573333333333334
30, 450, 11.466666666666667
31, 450, 10.933333333333334
32, 450, 11.573333333333334
33, 450, 12.053333333333333
34, 450, 12.853333333333333
35, 450, 11.733333333333333
36, 450, 12.106666666666667
37, 450, 12.64
38, 450, 12.053333333333333
39, 450, 11.786666666666667
40, 450, 12.853333333333333
41, 450, 10.773333333333333
42, 450, 12.746666666666666
43, 450, 12.266666666666667
44, 450, 12.053333333333333
45, 450, 11.946666666666667
46, 450, 11.786666666666667
47, 450, 12.906666666666666
48, 450, 12.16
49, 450, 11.893333333333333
50, 450, 11.413333333333334
1, 500, 11.76
2, 500, 11.52
3, 500, 11.568
4, 500, 10.848
5, 500, 12.096
6, 500, 12.24
7, 500, 11.568
8, 500, 11.808
9, 500, 12.048
10, 500, 11.136
11, 500, 11.52
12, 500, 12
13, 500, 13.296
14, 500, 11.52
15, 500, 11.76
16, 500, 12.432
17, 500, 12.24
18, 500, 12.768
19, 500, 12.672
20, 500, 11.616
21, 500, 12.288
22, 500, 12.096
23, 500, 11.904
24, 500, 12.096
25, 500, 10.944
26, 500, 12
27, 500, 11.712
28, 500, 13.056
29, 500, 11.568
30, 500, 11.712
31, 500, 12.144
32, 500, 12.24
33, 500, 12.048
34, 500, 12.048
35, 500, 12.24
36, 500, 12.528
37, 500, 11.328
38, 500, 11.712
39, 500, 12.144
40, 500, 11.328
41, 500, 11.52
42, 500, 11.952
43, 500, 11.952
44, 500, 12.384
45, 500, 12.528
46, 500, 11.616
47, 500, 12.144
48, 500, 12.048
49, 500, 12.912
50, 500, 12.144
1, 550, 11.476363636363637
2, 550, 11.214545454545455
3, 550, 11.52
4, 550, 11.956363636363637
5, 550, 12.392727272727273
6, 550, 11.956363636363637
7, 550, 12.261818181818182
8, 550, 11.083636363636364
9, 550, 12.654545454545454
10, 550, 11.65090909090909
11, 550, 12.261818181818182
12, 550, 11.738181818181818
13, 550, 12.567272727272726
14, 550, 12.043636363636363
15, 550, 12.523636363636363
16, 550, 12.610909090909091
17, 550, 12.043636363636363
18, 550, 12.261818181818182
19, 550, 11.738181818181818
20, 550, 12.087272727272728
21, 550, 12.087272727272728
22, 550, 11.781818181818181
23, 550, 11.912727272727272
24, 550, 11.825454545454546
25, 550, 12
26, 550, 11.52
27, 550, 12.087272727272728
28, 550, 11.389090909090909
29, 550, 11.86909090909091
30, 550, 12.567272727272726
31, 550, 11.127272727272727
32, 550, 11.345454545454546
33, 550, 12.087272727272728
34, 550, 11.476363636363637
35, 550, 12.218181818181819
36, 550, 11.389090909090909
37, 550, 11.781818181818181
38, 550, 11.607272727272727
39, 550, 12.654545454545454
40, 550, 12.043636363636363
41, 550, 13.178181818181818
42, 550, 11.825454545454546
43, 550, 12.218181818181819
44, 550, 12.567272727272726
45, 550, 11.781818181818181
46, 550, 12.043636363636363
47, 550, 11.127272727272727
48, 550, 13.221818181818183
49, 550, 13.090909090909092
50, 550, 11.912727272727272
1, 600, 12.2
2, 600, 12.76
3, 600, 12.32
4, 600, 13.04
5, 600, 11.08
6, 600, 12.72
7, 600, 11.32
8, 600, 12.68
9, 600, 12.36
10, 600, 12.68
11, 600, 11.68
12, 600, 12.64
13, 600, 12.16
14, 600, 12
15, 600, 12.28
16, 600, 11.76
17, 600, 12.64
18, 600, 12.24
19, 600, 12.6
20, 600, 11.6
21, 600, 11.32
22, 600, 11.28
23, 600, 12.52
24, 600, 12.64
25, 600, 12.76
26, 600, 13.84
27, 600, 12.2
28, 600, 11.2
29, 600, 11.72
30, 600, 12.8
31, 600, 11.6
32, 600, 12.32
33, 600, 11.56
34, 600, 11.64
35, 600, 12.68
36, 600, 11.88
37, 600, 11.6
38, 600, 12.04
39, 600, 11.72
40, 600, 12.12
41, 600, 11.44
42, 600, 12.2
43, 600, 12.6
44, 600, 12.24
45, 600, 12.08
46, 600, 11.56
47, 600, 12.6
48, 600, 12.64
49, 600, 11.92
50, 600, 12.28
1, 650, 11.667692307692308
2, 650, 11.778461538461539
3, 650, 11.963076923076922
4, 650, 12.147692307692308
5, 650, 12.923076923076923
6, 650, 11.704615384615385
7, 650, 12.036923076923078
8, 650, 12
9, 650, 11.52
10, 650, 11.704615384615385
11, 650, 12.184615384615384
12, 650, 12
13, 650, 12.36923076923077
14, 650, 11.593846153846155
15, 650, 12.073846153846153
16, 650, 11.778461538461539
17, 650, 12
18, 650, 11.224615384615385
19, 650, 11.704615384615385
20, 650, 11.741538461538461
21, 650, 12
22, 650, 11.704615384615385
23, 650, 12.36923076923077
24, 650, 12.147692307692308
25, 650, 11.88923076923077
26, 650, 12.184615384615384
27, 650, 12.221538461538461
28, 650, 11.483076923076924
29, 650, 12.664615384615384
30, 650, 12.516923076923076
31, 650, 11.852307692307692
32, 650, 12.332307692307692
33, 650, 11.88923076923077
34, 650, 12.406153846153845
35, 650, 12.36923076923077
36, 650, 13.033846153846154
37, 650, 11.667692307692308
38, 650, 12.849230769230768
39, 650, 11.741538461538461
40, 650, 11.815384615384616
41, 650, 11.741538461538461
42, 650, 11.741538461538461
43, 650, 12.11076923076923
44, 650, 11.815384615384616
45, 650, 12.36923076923077
46, 650, 11.446153846153846
47, 650, 12.738461538461538
48, 650, 11.372307692307693
49, 650, 12.073846153846153
50, 650, 12.036923076923078
1, 700, 12.137142857142857
2, 700, 11.554285714285715
3, 700, 12.137142857142857
4, 700, 12.06857142857143
5, 700, 12.48
6, 700, 12.548571428571428
7, 700, 11.211428571428572
8, 700, 11.348571428571429
9, 700, 12.445714285714285
10, 700, 10.662857142857144
11, 700, 12.411428571428571
12, 700, 11.862857142857143
13, 700, 12.102857142857143
14, 700, 11.93142857142857
15, 700, 12.48
16, 700, 11.862857142857143
17, 700, 11.93142857142857
18, 700, 12.274285714285714
19, 700, 11.588571428571429
20, 700, 11.965714285714286
21, 700, 11.622857142857143
22, 700, 12.102857142857143
23, 700, 11.52
24, 700, 11.794285714285714
25, 700, 12.205714285714286
26, 700, 11.862857142857143
27, 700, 12.308571428571428
28, 700, 11.554285714285715
29, 700, 10.765714285714285
30, 700, 11.691428571428572
31, 700, 12.137142857142857
32, 700, 11.93142857142857
33, 700, 11.52
34, 700, 12.308571428571428
35, 700, 12.102857142857143
36, 700, 12.445714285714285
37, 700, 11.794285714285714
38, 700, 11.142857142857142
39, 700, 11.28
40, 700, 11.211428571428572
41, 700, 11.52
42, 700, 11.93142857142857
43, 700, 11.485714285714286
44, 700, 11.554285714285715
45, 700, 12.137142857142857
46, 700, 12.308571428571428
47, 700, 12.308571428571428
48, 700, 11.52
49, 700, 11.142857142857142
50, 700, 11.657142857142857
1, 750, 12.768
2, 750, 12.096
3, 750, 12.672
4, 750, 11.52
5, 750, 11.616
6, 750, 11.168
7, 750, 11.232
8, 750, 12.48
9, 750, 12.352
10, 750, 12.064
11, 750, 12.8
12, 750, 11.904
13, 750, 12.224
14, 750, 11.168
15, 750, 11.488
16, 750, 11.616
17, 750, 12.16
18, 750, 12.736
19, 750, 11.232
20, 750, 12.096
21, 750, 11.968
22, 750, 12.384
23, 750, 11.904
24, 750, 11.2
25, 750, 11.616
26, 750, 11.776
27, 750, 12.096
28, 750, 12.032
29, 750, 11.296
30, 750, 12.512
31, 750, 11.936
32, 750, 11.776
33, 750, 11.936
34, 750, 11.616
35, 750, 11.296
36, 750, 12.032
37, 750, 11.36
38, 750, 12.416
39, 750, 11.68
40, 750, 12
41, 750, 11.808
42, 750, 12.256
43, 750, 11.936
44, 750, 11.296
45, 750, 12.384
46, 750, 12.224
47, 750, 12.256
48, 750, 10.912
49, 750, 11.776
50, 750, 12.48
1, 800, 12.39
2, 800, 11.37
3, 800, 11.37
4, 800, 11.85
5, 800, 12.3
6, 800, 12.75
7, 800, 12.27
8, 800, 12.18
9, 800, 12.06
