attempt, points, estimate
47, 450, 0.24666666666666667
48, 450, 0.22
49, 450, 0.21333333333333335
50, 450, 0.2
1, 500, 0.21
2, 500, 0.212
3, 500, 0.162
4, 500, 0.186
5, 500, 0.192
6, 500, 0.208
7, 500, 0.19
8, 500, 0.196
9, 500, 0.216
10, 500, 0.172
11, 500, 0.186
12, 500, 0.202
13, 500, 0.234
14, 500, 0.222
15, 500, 0.174
16, 500, 0.19
17, 500, 0.17
18, 500, 0.212
19, 500, 0.192
20, 500, 0.188
21, 500, 0.192
22, 500, 0.208
23, 500, 0.184
24, 500, 0.196
25, 500, 0.184
26, 500, 0.208
27, 500, 0.192
28, 500, 0.186
29, 500, 0.194
30, 500, 0.17
31, 500, 0.206
32, 500, 0.202
33, 500, 0.182
34, 500, 0.214
35, 500, 0.222
36, 500, 0.198
37, 500, 0.194
38, 500, 0.206
39, 500, 0.204
40, 500, 0.184
41, 500, 0.184
42, 500, 0.224
43, 500, 0.202
44, 500, 0.21
45, 500, 0.226
46, 500, 0.158
47, 500, 0.196
48, 500, 0.228
49, 500, 0.222
50, 500, 0.234
1, 550, 0.18363636363636363
2, 550, 0.2
3, 550, 0.19454545454545455
4, 550, 0.20909090909090908
5, 550, 0.20545454545454545
6, 550, 0.17454545454545456
7, 550, 0.21818181818181817
8, 550, 0.18545454545454546
9, 550, 0.20545454545454545
10, 550, 0.1690909090909091
11, 550, 0.18363636363636363
12, 550, 0.2018181818181818
13, 550, 0.19272727272727272
14, 550, 0.21818181818181817
15, 550, 0.19818181818181818
16, 550, 0.22
17, 550, 0.2109090909090909
18, 550, 0.20727272727272728
19, 550, 0.18363636363636363
20, 550, 0.22545454545454546
21, 550, 0.20727272727272728
22, 550, 0.19272727272727272
23, 550, 0.19818181818181818
24, 550, 0.22181818181818183
25, 550, 0.1890909090909091
26, 550, 0.20909090909090908
27, 550, 0.18545454545454546
28, 550, 0.19454545454545455
29, 550, 0.20727272727272728
30, 550, 0.2109090909090909
31, 550, 0.19090909090909092
32, 550, 0.18545454545454546
33, 550, 0.2109090909090909
34, 550, 0.19272727272727272
35, 550, 0.20545454545454545
36, 550, 0.19454545454545455
37, 550, 0.16363636363636364
38, 550, 0.18545454545454546
39, 550, 0.21454545454545454
40, 550, 0.19636363636363635
41, 550, 0.2309090909090909
42, 550, 0.2
43, 550, 0.20545454545454545
44, 550, 0.21454545454545454
45, 550, 0.19272727272727272
46, 550, 0.21454545454545454
47, 550, 0.19818181818181818
48, 550, 0.2309090909090909
49, 550, 0.21272727272727274
50, 550, 0.20363636363636364
1, 600, 0.23333333333333334
2, 600, 0.21666666666666667
3, 600, 0.22333333333333333
4, 600, 0.21333333333333335
5, 600, 0.17833333333333334
6, 600, 0.245
7, 600, 0.18833333333333332
8, 600, 0.21333333333333335
9, 600, 0.20833333333333334
10, 600, 0.22166666666666668
11, 600, 0.19
12, 600, 0.19666666666666666
13, 600, 0.21
14, 600, 0.22666666666666666
15, 600, 0.2
16, 600, 0.20166666666666666
17, 600, 0.19333333333333333
18, 600, 0.20666666666666667
19, 600, 0.22666666666666666
20, 600, 0.19333333333333333
21, 600, 0.18666666666666668
22, 600, 0.19166666666666668
23, 600, 0.21666666666666667
24, 600, 0.20333333333333334
25, 600, 0.21
26, 600, 0.19333333333333333
27, 600, 0.215
28, 600, 0.205
29, 600, 0.20166666666666666
30, 600, 0.21833333333333332
31, 600, 0.195
32, 600, 0.18833333333333332
33, 600, 0.15666666666666668
34, 600, 0.18166666666666667
35, 600, 0.21166666666666667
36, 600, 0.19
37, 600, 0.18833333333333332
38, 600, 0.20333333333333334
39, 600, 0.17
40, 600, 0.215
41, 600, 0.21833333333333332
42, 600, 0.21
43, 600, 0.21
44, 600, 0.20666666666666667
45, 600, 0.20666666666666667
46, 600, 0.21166666666666667
47, 600, 0.19166666666666668
48, 600, 0.21
49, 600, 0.2
50, 600, 0.2
1, 650, 0.18923076923076923
2, 650, 0.20307692307692307
3, 650, 0.18769230769230769
4, 650, 0.2153846153846154
5, 650, 0.19692307692307692
6, 650, 0.21846153846153846
7, 650, 0.21076923076923076
8, 650, 0.21076923076923076
9, 650, 0.19692307692307692
10, 650, 0.19230769230769232
11, 650, 0.20461538461538462
12, 650, 0.20615384615384616
13, 650, 0.24461538461538462
14, 650, 0.18769230769230769
15, 650, 0.20923076923076922
16, 650, 0.18923076923076923
17, 650, 0.19230769230769232
18, 650, 0.19384615384615383
19, 650, 0.18769230769230769
20, 650, 0.20615384615384616
21, 650, 0.2230769230769231
22, 650, 0.2153846153846154
23, 650, 0.19384615384615383
24, 650, 0.2246153846153846
25, 650, 0.2123076923076923
26, 650, 0.23076923076923078
27, 650, 0.18769230769230769
28, 650, 0.18
29, 650, 0.23076923076923078
30, 650, 0.22153846153846155
31, 650, 0.20153846153846153
32, 650, 0.2169230769230769
33, 650, 0.19846153846153847
34, 650, 0.22
35, 650, 0.2123076923076923
36, 650, 0.2276923076923077
37, 650, 0.20923076923076922
38, 650, 0.22153846153846155
39, 650, 0.20461538461538462
40, 650, 0.21076923076923076
41, 650, 0.19538461538461538
42, 650, 0.17846153846153845
43, 650, 0.21076923076923076
44, 650, 0.20615384615384616
45, 650, 0.2230769230769231
46, 650, 0.18307692307692308
47, 650, 0.20461538461538462
48, 650, 0.18153846153846154
49, 650, 0.20153846153846153
50, 650, 0.18
1, 700, 0.18571428571428572
2, 700, 0.20142857142857143
3, 700, 0.22714285714285715
4, 700, 0.21428571428571427
5, 700, 0.2042857142857143
6, 700, 0.21571428571428572
7, 700, 0.1757142857142857
8, 700, 0.18857142857142858
9, 700, 0.21714285714285714
10, 700, 0.19428571428571428
11, 700, 0.23142857142857143
12, 700, 0.18428571428571427
13, 700, 0.17714285714285713
14, 700, 0.18571428571428572
15, 700, 0.19714285714285715
16, 700, 0.2042857142857143
17, 700, 0.19428571428571428
18, 700, 0.21142857142857144
19, 700, 0.19714285714285715
20, 700, 0.2
21, 700, 0.18714285714285714
22, 700, 0.1742857142857143
23, 700, 0.18714285714285714
24, 700, 0.17857142857142858
25, 700, 0.19142857142857142
26, 700, 0.2
27, 700, 0.21142857142857144
28, 700, 0.19142857142857142
29, 700, 0.17857142857142858
30, 700, 0.20714285714285716
31, 700, 0.18571428571428572
32, 700, 0.19857142857142857
33, 700, 0.19285714285714287
34, 700, 0.2342857142857143
35, 700, 0.19
36, 700, 0.2042857142857143
37, 700, 0.20714285714285716
38, 700, 0.1957142857142857
39, 700, 0.1957142857142857
40, 700, 0.18857142857142858
41, 700, 0.19428571428571428
42, 700, 0.19714285714285715
43, 700, 0.21
44, 700, 0.1957142857142857
45, 700, 0.20714285714285716
46, 700, 0.19857142857142857
47, 700, 0.20142857142857143
48, 700, 0.19428571428571428
49, 700, 0.15428571428571428
